hash	namespace	symbol	candidates
72ec3b0fb2739fc97d1826e5f8eb140b421a9cda	Yalla.Domain.Entities	Client	Domain/Entities/Client.cs
73506d244b76b50e44a205a5b8006fc6b3b148db	Yalla.Application.UnitTests.TestInfrastructure		
74713f43d6782fe73e7e6da7c1ae3c8b28ebf657	Yalla.Domain.Entities	BasketPosition	Domain/Entities/BasketPosition.cs
761128767bf3ea0c4fe6a310c75bb77c738b0b4d	Yalla.Domain.Entities	Medicine	Domain/Entities/Medicine.cs
78898c896131cc381c9b0cf9a103f9144efa598a	Yalla.Application.UnitTests.Services	MedicineServiceRequestDrivenTests	tests/Yalla.Application.UnitTests/Services/MedicineServiceRequestDrivenTests.cs
7fabb17deae2cf7f2d47ece0b7d882bbba226085	Yalla.Application.UnitTests.Services	MedicineServiceTests	tests/Yalla.Application.UnitTests/Services/MedicineServiceTests.cs
8162547af8f5631a1e1ea0e60eea9de445f7f7ff	Yalla.Application.Extensions		
8e75baed21f9ea05d12d936beb5ee27a76f79a91	Infrastructure.Migrations		
8e8910102f808a73a11f91c07f11ca75f8ca239a	Yalla.Application.DTO.Request	CheckoutBasketRequest	Application/DTO/Request/CheckoutBasketRequest.cs
910a0ef28dd08bbbb01fb6e2f94dbc3947e52fe1	Yalla.Application.DTO.Response	ClientResponse	Application/DTO/Response/ClientResponse.cs
989eb9b15a9e4f787c54023c1c99e6a0bc8dd95c	Yalla.Application.UnitTests.Services	OrderServiceRequestDrivenTests	
9b71cce81065214d8ecc5b1be81a94ab2685c5ef	Yalla.Application.UnitTests.Services	ClientServiceTests	tests/Yalla.BusinessLogic.Tests/Services/ClientServiceTests.cs
9bbf3a8531ffb6a4869b53fc2d3261cde697ff9e	Yalla.Application.Services	OrderService	Application/Services/OrderService.cs
9f7a8153f299dd9d7cfe79caeb72bd904fd8d506	Yalla.Application.Services	IClientService	Application/Services/IClientService.cs
a4a129e9a86e20d531c90567f3d797e57fcc8c9a	Yalla.Domain.Entities	PharmacyWorker	Domain/Entities/PharmacyWorker.cs
addc0e4c0cc82a8e52b83bfaa724841e272eaf4a	Yalla.Application.DTO.Request	GetNewOrdersForWorkerRequest	Application/DTO/Request/GetNewOrdersForWorkerRequest.cs
b708070fe6fc9b7354a3c3a2fc8cc98d26639c40	Yalla.Domain.Entities	Order	Domain/Entities/Order.cs
bf4d6c841494e4e458f643999f37fe1d7c052302	Yalla.Application.Extensions		
c67494c6c85848acf7399d7628c86397d581ae15	Yalla.Application.UnitTests.Services	ClientServiceRequestDrivenTests	
c913d67e534589e18591b3d11a0aa68802f0d43d	Yalla.Application.Extensions		
c9311beb63c5e8083f3ca8fbe3acf610d7ccfaa8	Yalla.Infrastructure.Configurations	UserConfiguration	Infrastructure/Configurations/UserConfiguration.cs
c95cc041cc4066d177ea5a3e2aba55f56d64012f	Yalla.Domain.Entities	Position	Domain/Entities/Position.cs
d1d8e6ced40ba149c5979748fd2bf4edf85952a0	Yalla.Application.Services	PharmacyWorkerService	Application/Services/PharmacyWorkerService.cs
d30593e39bf9ea16fe85149026d4c18795716c84	Yalla.Domain.Entities	Medicine	Domain/Entities/Medicine.cs
d399781a25f31a556e5ed429e35af7bc43a852e5	Yalla.Domain.Entities	Pharmacy	Domain/Entities/Pharmacy.cs
d7a567776d6a543eb5f50c8a28a157f904fd9f7c	Yalla.Application.Services	IOrderService	Application/Services/IOrderService.cs
db6adfd8c8912e2fdc5b5a7ef0f55ccf9f534518	Yalla.Domain.Entities	Order	Domain/Entities/Order.cs
e0d918c70f97449ff9d9e8aa049e3779342f6694	Yalla.Application.Services	ClientService	Application/Services/ClientService.cs
e36dda0dcc4e1541d00ca86975b9165759958678	Yalla.Application.DTO.Request	MarkOrderOnTheWayRequest	Application/DTO/Request/MarkOrderOnTheWayRequest.cs
e5e2dc41745fc2fcf06f2b875a72acb5a8c5006a	Yalla.Application.DTO.Response	MedicineSearchItemResponse	Application/DTO/Response/MedicineSearchItemResponse.cs
e8359a918b13ac8d1dac678d790f3db3829a17e7	Yalla.Application.DTO.Request	AddProductToBasketRequest	Application/DTO/Request/AddProductToBasketRequest.cs
ed07538a72420e07920e99520fea19e85eb833de	Yalla.Application.Abstractions	IAppDbContext	Application/Abstractions/IAppDbContext.cs
f434b14154e57ea50fd9a2e7f0db22dceab085c8	Yalla.Application.DTO.Request	RejectOrderPositionsRequest	Application/DTO/Request/RejectOrderPositionsRequest.cs
f4df1c3b12e76a566f6fe5c94fcfe3778fb46589	Yalla.Domain.Entities	Order	Domain/Entities/Order.cs
fa8d4fbe912e363224d3bd438af92106ba404ec1	Yalla.Application.UnitTests.Services	OrderServiceTests	tests/Yalla.BusinessLogic.Tests/Services/OrderServiceTests.cs,tests/Yalla.Application.UnitTests/Services/OrderServiceTests.cs
fc4e960575f9579a497619a4f96968307979ed67	Yalla.Application.DTO.Request	CheckoutBasketRequest	Application/DTO/Request/CheckoutBasketRequest.cs
